evento,estacion,Distancia,s_p,s_p_man,P_Cote,S_Cote,SP_Cote
2014_10_23 23_38_51_M5_2,CO02,335.745,59.375,34.9548000000068,735895.9858723118,735895.9863024193,37.16130000000703
2014_10_24 00_58_46_M4_6,CO02,332.386,59.025,18.116100000000188,735896.0413965053,735896.0417997312,34.838700000000244
2014_12_02 01_00_45_M4_5,PB09,286.492,16.3,,735935.0429099463,735935.0430819893,14.864500000000135
2015_01_23 01_25_37_M4_4,CO02,177.016,22.975,18.348399999999856,735987.0597782258,735987.0600013441,19.277399999999943
2015_02_14 14_47_30_M4_1,PB09,290.106,50.35,86.74839999999676,736009.616875504,736009.6174259073,47.55490000000282
2015_02_22 05_40_18_M4_6,PB09,260.869,46.5,,736017.2368482864,736017.2373200605,40.7612999999983
2015_03_02 14_02_07_M4_0,GO03,124.649,23.1,68.45810000000347,736025.5850524193,736025.5852056452,13.2387000000017
2015_05_14 15_08_01_M5_2,GO03,182.919,23.975,20.67090000000462,736098.6309610215,736098.6311895162,19.74189999999362
2015_08_12 00_14_39_M5_5,CO02,81.7123,11.575,,736188.0103669355,736188.0105174731,13.00649999999996
2015_09_16 23_16_09_M6_1,GO03,474.429,110.375,,736223.9721159275,736223.9728215727,60.96779999999853
2015_09_16 23_38_01_M5_9,GO03,495.827,95.4,,,,
2015_09_17 01_41_05_M6_4,AC02,414.916,66.225,91.45169999999962,736224.0711028227,736224.0718931452,68.28380000000016
2015_09_17 03_34_50_M4_6,GO03,506.703,75.925,73.94520000000011,,,
2015_09_17 03_55_15_M6_5,GO03,448.212,79.5,131.6903999999995,736224.1641517137,736224.1648321573,58.79030000000057
2015_09_17 04_02_10_M5_7,GO03,434.926,59.375,56.70000000000073,736224.1689541332,736224.1696315525,58.52900000000045
2015_09_17 06_36_34_M5_1,PB09,360.279,65.0,155.03219999999783,,,
2015_09_17 10_12_52_M4_9,GO03,369.515,59.675,132.38709999999992,736224.4262394153,736224.4269349799,60.09679999999935
2015_09_17 10_31_26_M5_2,GO03,396.575,54.25,118.79999999999563,736224.4391446572,736224.4397676411,53.82579999999871
2015_09_17 12_09_43_M5_3,GO03,538.457,121.425,117.0,736224.5077142137,736224.5085609879,73.16129999999976
2015_09_17 12_14_34_M5_9,GO03,604.558,94.625,,736224.511063508,736224.5120379704,84.19350000000122
2015_09_17 13_32_26_M5_9,GO03,545.231,95.6,97.54839999999967,736224.5650399865,736224.5659035618,74.61290000000008
